filter_len,data_1st,filter_1st
1,0.144546,0.136779
2,0.210377,0.239600
4,0.389323,0.475639
8,0.778911,0.968637
16,1.592698,1.902338
32,3.783232,3.795632
64,7.128626,7.562171
128,13.847742,15.116486
256,27.363452,30.207311
512,54.260471,60.399162
1024,108.086440,120.844532
1,0.144360,0.138297
2,0.212028,0.237027
4,0.386220,0.479744
8,0.769604,0.943990
16,1.579144,1.906371
32,3.766196,3.807821
64,7.174281,7.612847
128,13.848526,15.152918
256,27.461028,30.237324
512,54.381979,60.568419
1024,108.513001,121.413823
1,0.145321,0.138800
2,0.212836,0.238913
4,0.396706,0.473660
8,0.785112,0.949947
16,1.598357,1.908212
32,3.783032,3.794961
64,7.187240,7.572969
128,13.932897,15.131548
256,27.431338,30.323360
512,54.752972,60.572994
1024,108.614366,121.070571
