num_threads,filter_1st,data_1st
1,73.979564,72.944587
2,37.019569,36.546478
4,30.177153,27.623550
8,17.987975,17.114386
16,17.555746,17.194881
1,73.967946,72.950219
2,37.073240,36.576175
4,30.368140,18.276671
8,17.921539,17.116854
16,17.525699,17.392246
1,74.026500,73.070736
2,37.069660,36.605935
4,23.132068,27.126322
8,17.611188,17.109289
16,17.526798,17.019342
1,74.136739,73.152015
2,37.125229,36.670967
4,18.544925,18.307288
8,18.005897,17.113598
16,17.780251,17.142847
1,74.034044,72.949447
2,37.071613,36.559985
4,29.675509,29.229101
8,17.608432,17.113324
16,17.712466,17.154763
1,74.187159,72.952955
2,37.097644,36.546014
4,24.934323,18.265375
8,18.346645,17.484779
16,17.903142,17.445819
1,74.166036,72.878734
2,37.085941,36.583862
4,18.499111,18.272269
8,17.978074,17.116213
16,17.802647,17.078904
1,74.133356,72.982902
2,37.056607,36.570753
4,18.499630,18.270037
8,17.983801,17.115693
16,17.522320,17.009056
1,74.146055,72.858871
2,37.072134,36.569079
4,19.376864,18.265375
8,17.927636,17.110380
16,17.752848,17.695410
1,74.234676,73.806773
2,37.158822,36.954405
4,31.015135,18.464557
8,17.993868,17.113250
16,17.553473,17.125989
1,74.041315,72.949077
2,37.082717,36.559411
4,18.510604,18.260927
8,19.666117,19.214880
16,17.656816,17.189777
1,74.186451,73.136046
2,37.144743,36.650216
4,18.542453,18.304997
8,17.969474,17.112829
16,18.244797,17.087919
1,73.405269,72.955818
2,37.077680,36.563058
4,30.039845,18.262453
8,17.985558,17.111453
16,17.543196,17.397704
1,74.112831,72.965814
2,37.090471,36.567615
4,18.510529,18.266790
8,17.990666,17.115917
16,17.532184,17.066444
1,74.110797,73.341485
2,37.133305,36.753460
4,33.764589,18.359061
8,17.960070,17.111965
16,17.561853,17.141298
1,73.976614,72.946564
2,37.036982,36.551083
4,18.502190,18.268804
8,17.966349,17.110995
16,17.504337,17.362713
1,74.030031,72.958738
2,37.051943,36.574443
4,18.512223,18.271059
8,17.975201,17.117625
16,17.515322,17.591024
1,74.072358,72.935721
2,37.031904,36.564468
4,18.496087,18.265140
8,17.926577,17.130248
16,17.511635,17.156195
1,74.033698,72.960028
2,37.023534,36.559789
4,18.494612,18.265939
8,17.957828,17.108629
16,17.541517,17.018968
1,74.238657,73.375436
2,37.170590,36.766247
4,28.046421,29.422992
8,17.960705,17.117060
16,17.566675,17.309872
