filter_len,data_1st,filter_1st
1,0.149127,0.140435
2,0.214532,0.242481
4,0.392039,0.475289
8,0.776271,0.953405
16,1.982882,1.908620
32,3.841715,3.791381
64,7.248064,7.569798
128,14.072901,15.123474
1,0.145066,0.136519
2,0.213027,0.237791
4,0.389103,0.472206
8,0.772687,0.943045
16,1.973082,1.891317
32,3.815001,3.786087
64,7.251379,7.550339
128,14.012047,15.164630
1,0.145720,0.137403
2,0.212456,0.237919
4,0.391530,0.477887
8,0.778369,0.950719
16,2.012655,1.896483
32,3.828043,3.784455
64,7.206072,7.544066
128,13.984895,15.084435
1,0.145580,0.139083
2,0.212233,0.237774
4,0.390005,0.473482
8,0.779646,0.944555
16,2.015807,1.888006
32,3.818141,3.781998
64,7.198253,7.573502
128,14.038772,15.162473
1,0.143568,0.136617
2,0.211012,0.236274
4,0.392980,0.476079
8,0.773149,0.943253
16,1.982019,1.898222
32,3.813669,3.779592
64,7.210827,7.576455
128,14.035821,15.137049
