num_threads,filter_1st,data_1st
1,7.000032,7.047328
2,3.571624,3.654268
4,1.822713,1.808502
8,1.695028,1.711145
16,1.698157,1.747865
1,6.960978,7.058548
2,3.690894,3.606668
4,1.795587,1.831400
8,1.690902,1.707365
16,1.715765,1.733883
1,6.963633,7.102178
2,3.553525,3.608860
4,1.824373,1.825949
8,1.689777,1.708059
16,1.680273,1.725465
1,6.961066,7.059326
2,3.609448,3.643071
4,1.772693,1.805099
8,1.689207,1.713041
16,1.714416,1.754454
1,6.965632,7.056748
2,3.546176,3.601564
4,1.799546,1.814061
8,1.693380,1.712547
16,1.698219,1.706708
