num_threads total_fips heads elapsed
1 1000000000 500013758 7915
2 1000000000 500017185 4004
4 1000000000 500009867 2021
8 1000000000 499979894 1246
16 1000000000 499991751 1272
32 1000000000 500000681 1282
1 1000000000 500009083 7925
2 1000000000 500004168 3991
4 1000000000 500017181 2004
8 1000000000 499990151 1224
16 1000000000 499997999 1223
32 1000000000 499967569 1233
1 1000000000 499997826 7848
2 1000000000 499994368 3996
4 1000000000 500006748 2011
8 1000000000 499995136 1221
16 1000000000 500013315 1222
32 1000000000 500018650 1242
1 1000000000 500002395 7850
2 1000000000 499993454 3998
4 1000000000 499982628 2008
8 1000000000 499993269 1237
16 1000000000 499982635 1284
32 1000000000 499998651 1258
1 1000000000 500012334 7887
2 1000000000 500000001 3989
4 1000000000 499994385 2005
8 1000000000 499986230 1250
16 1000000000 500001824 1268
32 1000000000 500001826 1242
